uuid,adm4_pcode,date,college_nearest,community_centre_nearest,school_nearest,shelter_nearest,town_hall_nearest,university_nearest,location1.adm4_en,location1.brgy_total_area
osmpa001c23,ph063022201,01/01/2022,436.9515921,776.2699259,0,1129.893318,1509.540778,525.8064689,Tabuc Suba (La Paz),0.9401
osmpa001b9c,ph063022177,01/01/2022,1000.418342,941.2657492,0,1752.08443,671.8588923,3064.587874,Tacas,3.6503
osmpa001b9b,ph063022043,01/01/2022,425.6162839,195.1859591,176.5199685,294.4281901,322.5062659,64.98693714,Mabolo-Delgado,0.0524
osmpa001b9a,ph063022011,01/01/2022,939.5232871,3308.209896,0,501.9707401,449.6827484,4062.315759,Balantang,1.9534
osmpa001b99,ph063022181,01/01/2022,833.7421342,0,0,342.1292965,1232.974966,806.0447288,Tap-Oc,0.0601
osmpa001b98,ph063022159,01/01/2022,240.4773342,929.6153462,40.72136055,1810.942786,1324.655141,221.7894968,San Pedro (Jaro),0.0616
osmpa001b97,ph063022060,01/01/2022,2051.394052,942.4734008,59.27148215,1566.525507,21.51435303,2186.418448,South Fundidor,0.7899
osmpa001b96,ph063022023,01/01/2022,4650.573312,346.5224264,33.63243044,3867.631344,405.2261458,4722.407633,Bonifacio (Arevalo),0.3728
osmpa001b95,ph063022161,01/01/2022,348.3856672,895.1504104,159.1606176,700.2902951,1111.197515,2000.616356,San Roque,0.0545
osmpa001b94,ph063022186,01/01/2022,344.1732613,500.5667089,159.135913,662.051354,446.073805,30.80753124,Timawa Tanza Ii,0.0446
osmpa001b93,ph063022041,01/01/2022,539.9213707,1248.289344,0,1005.80704,1491.450181,600.0335717,Cubay,1.0505
osmpa001b92,ph063022154,01/01/2022,108.6407452,770.2339172,88.65815404,1674.118193,1150.630507,242.8866413,San Jose (Jaro),0.038
osmpa001b91,ph063022097,01/01/2022,822.1215505,1471.282746,68.2841947,956.7160799,687.2723148,954.3054131,Luna (Jaro),0.0387
osmpa001b90,ph063022080,01/01/2022,826.1955648,169.4529722,82.30025151,630.9910025,1007.849146,891.4366306,Katilingban,0.0484
osmpa001b8f,ph063022033,01/01/2022,936.3771165,3004.767981,67.20608047,761.9518018,1072.561561,4272.697579,Camalig,0.5585
osmpa001b8e,ph063022064,01/01/2022,1273.412539,542.2848193,212.3590973,0,574.3779414,2808.323589,Guzman-Jesena,0.8889
osmpa001b8d,ph063022189,01/01/2022,492.422668,0,0,16.25283483,135.6222249,337.91643,Villa Anita,0.1176
osmpa001b8c,ph063022178,01/01/2022,818.8167761,601.5596158,0,108.2944194,0,1926.480777,Abeto Mirasol Taft South (Quirino Abeto),0.544
osmpa001b8b,ph063022081,01/01/2022,254.0690662,604.8903484,162.8078191,632.2117183,52.68879522,1171.070345,Kauswagan,0.0434
osmpa001b8a,ph063022084,01/01/2022,270.0670166,939.1795358,0,1202.675612,755.3085039,419.3369898,Our Lady Of Fatima,0.1906
osmpa001b9d,ph063022115,01/01/2022,1352.464642,90.20466241,0,180.1061853,829.0315267,1308.695757,Navais,1.2421
osmpa001d4b,ph063022014,01/01/2022,858.0393802,0,0,1399.635344,475.388782,910.1342111,Sinikway (Bangkerohan Lapuz),0.081
osmpa001b9e,ph063022071,01/01/2022,211.0781987,562.0639824,320.952163,732.0321613,668.6815369,40.01594009,Infante,0.0897
osmpa001ba0,ph063022045,01/01/2022,1022.07332,1644.537032,94.94665565,692.9471171,130.1910897,1325.232071,Desamparados,0.0271
osmpa001c22,ph063022156,01/01/2022,1007.014086,986.5373083,0,1452.769246,795.6511619,1170.288371,San Juan,0.3183
osmpa001c21,ph063022005,01/01/2022,585.1159964,15.34368786,28.49299621,1142.321478,332.3187145,910.5572727,Alalasan Lapuz,0.0729
osmpa001c20,ph063022021,01/01/2022,196.1002086,390.726699,0,1045.561443,365.5164911,499.851396,Bolilao,0.3538
